id,trigger,conditions,script,text,options,notes
"#RULESET_NAME Blackhearted",,,,,,
,,,,,,
# Motes theme,,,,,,
,,,,,,
# The first opposition,,,,,,
BH_moteOppositionHail,BH_moteOpposition,,"unset $entity.genericHail","The hardened visage of the $rank appears before you. A determinable feeling of thinly veiled disgust is visible from $hisOrHer scowling grimace.

""Sinner!"" $heOrShe growls. ""You are noticed, watched, and hunted. Your deal with the devil ends here and NOW. And if not me, than someone else."" $heOrShe hisses.

""Do you have any last words before I destroy your pitiful life and end your tyranny?""","cutCommLink:Cut the comm link
BH_moteOppositionHailLaugh:Start laughing hysterically, dancing with their dissonant song
BH_moteOppositionHailResist: ""I... I'm... there's nothing wrong. I swear it-""
BH_moteOppositionHailResistHard: ""Help me...""",
BH_moteOppositionHailLaugh,DialogOptionSelected,"$option == BH_moteOppositionHailLaugh","ShowDefaultVisual
EndConversation","Ah-haha, how silly this one is! Head lost in $hisOrHer own world, unable to see the stars... $hisOrHer scowl and hissing only brings you more joy! Ah, ah, they have cut the link and are preparing their weapons - ohhh, what a fun time to be alive!

You hope $heOrShe smiles in that harsh vacuum...",,
BH_moteOppositionHailResist,DialogOptionSelected,"$option == BH_moteOppositionHailResist","ShowDefaultVisual
EndConversation","""SILENCE."" $heOrShe growls, slamming $hisOrHer hand on the desk. ""I can see it. Your fight. But smothered, so terribly deeply.""

$HeOrShe stands stiff, scowling. ""I will help you.""

And with that, the commlink cuts. To battle stations.",,
BH_moteOppositionHailResistHard,DialogOptionSelected,"$option == BH_moteOppositionHailResistHard","ShowDefaultVisual
EndConversation","A SPLITTING TERRIBLE HEADACHE-THOUSANDS OF PINPOINT NEEDLES-----THE MUSIC------YOU---DANCE---AND---AND---

""...""

$HisOrHer expression softens to one of pity. A sigh. ""...I am a warrior, not a priest. If you survive this incident, find [PERSON NAME] on [GOOD ROUTE PLANET]. A'ce last 've.""

You start laughing. You laugh. You laugh even though you don't know why. You smile. You smile wide. So wide, in fact, your eyes start tearing up and the corners of your mouth tear.

The comm link cuts. What? Why? Why would it cut? Haha! Oh, they're coming closer! Haha! This must be to DANCE! To DANCE, yes! Dance! Dance! TO DANCE! TO THE DANCE! WE FLY TO THE DANCE-",,
"#END The first opposition",,,,,,
,,,,,,
# Officer rebellion,,,,,,
BHMoteOfficerRebellionInit,BHMoteOfficerRebellionInit,,"BHMusicToggle ""BH_music_scavenge_ambience"" true true","It's routine.

Sitting on your chair, staring out into the viewport. The music hums to you every day, now. Your add to the choir, humming that ethereal tune, bobbing your head...

Your crew has become unnerved to a noticeable degree, but they still work. The pay is just too good, you assume. Or maybe they smile and dance as well? The thought makes you chuckle, and hum harder.","BHMoteOfficerRebellionTwo:Continue",
BHMoteOfficerRebellionTwo,DialogOptionSelected,"$option == BHMoteOfficerRebellionTwo",,"But something has changed recently.

Eyes cast on the back of your head. Hushed murmurs. Delays in processing. What is this? Are they conspiring? You shake your head no. The music tells you otherwise, and it would not lie. Would it?

But still, they work. Your fleet runs smoothly. Not much more could be asked. And headed by your loyal officers, it will remain this way.

You relax.","BHMoteOfficerRebellionThree:Continue",
BHMoteOfficerRebellionThree,DialogOptionSelected,"$option == BHMoteOfficerRebellionThree","BHMusicToggle """" true","..but then, the bridge doors open.

...then, the sound of shuffling feet behind you.

...and then.

A tap on your shoulder.","BHMoteOfficerRebellionFour:Turn around",
